央视,#genre#
青海卫视,QHTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000182.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000182?AuthInfo=xxx&userid=
新疆卫视,XJTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000181.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000181?AuthInfo=xxx&userid=
西藏卫视,XIZANGTV2&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000178.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000178?AuthInfo=xxx&userid=
山西卫视,SXTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000179.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000179?AuthInfo=xxx&userid=
内蒙古卫视,NMGTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000180.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000180?AuthInfo=xxx&userid=
黑龙江卫视,HLJTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000227.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000227?AuthInfo=xxx&userid=
黑龙江卫视,HLJTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000198.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000198?AuthInfo=xxx&userid=
山东教育卫视,SDETV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000339.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000339?AuthInfo=xxx&userid=
重庆,#genre#
重庆卫视,CCQTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000365.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000365?AuthInfo=xxx&userid=
重庆卫视,CCQTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000193.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000193?AuthInfo=xxx&userid=
重庆新闻,CCQTV3&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000367.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000367?AuthInfo=xxx&userid=
重庆新闻,CCQTV3&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000258.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000258?AuthInfo=xxx&userid=
